codigoinsitucion,nombreinstitucion,nitinstitucion,codigopadreinstitucion,tipoinstitucion,codigodepartamento,nombredeparamento,codigomunicipio,nombremunicipio,codigoordeninstitucional,nombreordeninstitucional,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracterinstitucional,nombrecaracterinstitucional,codigotipoacreditacion,nombretipoacreditacion,codigotipomarcocreacion,numeromarcocreacion,nombretipomarcocreacion
4701,FUNDACION ACADEMIA DE DIBUJO PROFESIONAL,NO INFORMA,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,18638,RESOLUCION
1801,UNIVERSIDAD LA GRAN COLOMBIA,860.015.685,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,47,RESOLUCION
2704,COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-,860.045.740,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,3,REGISTRO ALTA CALIDAD,7,5157,RESOLUCION
3801,CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE,891.401.313-4,,PRINCIPAL,76,VALLE DEL CAUCA,76147,CARTAGO,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,3712,RESOLUCION
1209,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,890.500.622,,PRINCIPAL,54,NORTE DE SANTANDER,54001,CUCUTA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,3,323,DECRETO
2739,FUNDACION DE ESTUDIOS SUPERIORES UNIVERSITARIOS DE URABA ANTONIO ROLDAN BETANCUR,811028521-1,,PRINCIPAL,5,ANTIOQUIA,5045,APARTADO,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,596,RESOLUCION
1126,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,1101,SECCIONAL,88,SAN ANDRES Y PROVIDENCIA,88001,SAN ANDRES,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,5,66,LEY
1813,UNIVERSIDAD DE LOS ANDES,860.007.386-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,28,RESOLUCION
3104,COLEGIO MAYOR DEL CAUCA,NO INFORMA,,PRINCIPAL,19,CAUCA,19001,POPAYAN,4,DEPARTAMENTAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,524,RESOLUCION
9902,FUNDACION UNIVERSITARIA COMFENALCO SANTANDER,900395956-5,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,8562,NO INFORMA
3117,INSTITUTO TECNOLOGICO DE SOLEDAD ATLANTICO,802.011.065,,PRINCIPAL,8,ATLANTICO,8758,SOLEDAD,4,DEPARTAMENTAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,5,391,LEY
2719,FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM,890985189,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,17701,RESOLUCION
9115,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,899.999.034-1,9110,SECCIONAL,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,19,30,NO INFORMA
2206,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,890.325.989-3,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,4,DEPARTAMENTAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,6,8,ORDENANZA
9128,LCI - FUNDACION TECNOLOGICA,900262351,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,8973,RESOLUCION
3706,FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES -F.C.E.C.E.P.,NO INFORMA,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,11967,RESOLUCION
1803,UNIVERSIDAD DE LA SALLE,860.013.720-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,597,RESOLUCION
4818,CORPORACION UNIVERSITARIA LATINOAMERICANA - CUL,890.103.657-0,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,273,RESOLUCION
2842,CORPORACION UNIVERSITARIA REFORMADA - CUR -,802017254-8,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1021,RESOLUCION
1811,UNIVERSIDAD LIBRE,860.013.798-5,1806,SECCIONAL,68,SANTANDER,68755,SOCORRO,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,192,RESOLUCION
1833,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,891.000.692-1,,PRINCIPAL,23,CORDOBA,23001,MONTERIA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,12154,RESOLUCION
4109,INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ - INTENALCO,800.248.004,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,5,NACIONAL,1,OFICIAL,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,20500,RESOLUCION
4102,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN JUAN DEL CESAR,860.402.193-9,,PRINCIPAL,44,GUAJIRA,44650,SAN JUAN DEL CESAR,5,NACIONAL,1,OFICIAL,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,3,1098,DECRETO
9105,ESCUELA NAVAL DE CADETES ALMIRANTE PADILLA,NO INFORMA,,PRINCIPAL,13,BOLIVAR,13001,CARTAGENA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,3,793,DECRETO
2701,INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1384,RESOLUCION
3901,ESCUELA DE FORMACION DE INFANTERIA DE MARINA,800141688,,PRINCIPAL,70,SUCRE,70221,COVEAS (SUCRE),5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,19,SIN DATO,NO INFORMA
1202,UNIVERSIDAD DEL ATLANTICO,890.102.257-3,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,6,42,ORDENANZA
2824,CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS,860.524.958,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,22185,RESOLUCION
1107,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,1106,SECCIONAL,15,BOYACA,15238,DUITAMA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,3,2655,DECRETO
3724,FUNDACION TECNOLOGICA DE MADRID,832.005.942-4,,PRINCIPAL,25,CUNDINAMARCA,25430,MADRID,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,1833,RESOLUCION
1715,FUNDACION UNIVERSIDAD DE AMERICA,860.006.806,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,417,RESOLUCION
1827,UNIVERSIDAD CATOLICA DE MANIZALES,890806477-9,,PRINCIPAL,17,CALDAS,17001,MANIZALES,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,3,271,DECRETO
3103,COLEGIO MAYOR DE BOLIVAR,890.480.054,,PRINCIPAL,13,BOLIVAR,13001,CARTAGENA,3,MUNICIPAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,5,48,LEY
9103,ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ,800.141.621,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,3,2247,DECRETO
9117,FUNDACION POLITECNICA - CORPO,1900093502-9,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,3623,RESOLUCION
1106,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,,PRINCIPAL,15,BOYACA,15001,TUNJA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,3,2655,DECRETO
1714,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,860.007.759,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,58,RESOLUCION
1213,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,891.780.111-8,,PRINCIPAL,47,MAGDALENA,47001,SANTA MARTA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,6,5,ORDENANZA
5802,UNIVERSIDAD ECCI,860.401.496-0,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,2683,RESOLUCION
1728,UNIVERSIDAD SERGIO ARBOLEDA,860.351.894,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,16377,RESOLUCION
2209,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,890.980.136-6,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,4,DEPARTAMENTAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,3,33,DECRETO
1207,UNIVERSIDAD DEL TOLIMA,890.700.640,,PRINCIPAL,73,TOLIMA,73001,IBAGUE,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,6,5,ORDENANZA
