codigoinsitucion,nombreinstitucion,nitinstitucion,codigopadreinstitucion,tipoinstitucion,codigodepartamento,nombredeparamento,codigomunicipio,nombremunicipio,codigoordeninstitucional,nombreordeninstitucional,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracterinstitucional,nombrecaracterinstitucional,codigotipoacreditacion,nombretipoacreditacion,codigotipomarcocreacion,numeromarcocreacion,nombretipomarcocreacion
3802,CENTRO EDUCACIONAL DE COMPUTOS Y SISTEMAS-CEDESISTEMAS-,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,12571,RESOLUCION
1210,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,801.631.300,1209,SECCIONAL,54,NORTE DE SANTANDER,54498,OCA?A,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,3,323,DECRETO
1733,UNIVERSIDAD SERGIO ARBOLEDA,860.351.894 -3,1728,SECCIONAL,47,MAGDALENA,47001,SANTA MARTA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,16377,RESOLUCION
9909,UNIVERSIDAD DEL VALLE,1,1203,SECCIONAL,76,VALLE DEL CAUCA,76895,ZARZAL,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,6,12,ORDENANZA
1807,UNIVERSIDAD LIBRE,860.013.798-5,1806,SECCIONAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,192,RESOLUCION
2736,FUNDACION UNIVERSITARIA SEMINARIO BIBLICO DE COLOMBIA,811.026.923,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,3298,RESOLUCION
1109,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,1106,SECCIONAL,15,BOYACA,15176,CHIQUINQUIRA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,3,2655,DECRETO
2731,FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM,800.185.664-6,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,944,RESOLUCION
2301,UNIDAD CENTRAL DEL VALLE DEL CAUCA,891.900.853-0,,PRINCIPAL,76,VALLE DEL CAUCA,76834,TULUA,3,MUNICIPAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,1,24,ACUERDO
2740,INSTITUCION UNIVERSITARIA COLOMBO AMERICANA - UNICA,830.088.283,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,849,RESOLUCION
9125,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,1201,SECCIONAL,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
4827,CORPORACION EDUCATIVA INSTITUTO TECNICO SUPERIOR DE ARTES IDEARTES,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,11103,RESOLUCION
4835,CORPORACION EDUCATIVA TALLER 5 CENTRO DE DISEÑO,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,11108,RESOLUCION
1815,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,860.022.382-3,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,3681,RESOLUCION
3806,CORPORACION ESCUELA SUPERIOR DE ADMINISTRACION Y ESTUDIOS TECNOLOGICOS- EAE,890309555-3,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,4158,RESOLUCION
9127,CORPORACION UNIVERSITARIA DE SABANETA J. EMILIO VALDERRAMA,900.253.021-5,,PRINCIPAL,5,ANTIOQUIA,5631,SABANETA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,7184,RESOLUCION
1809,UNIVERSIDAD LIBRE,860.013.798-5,1806,SECCIONAL,66,RISARALDA,66001,PEREIRA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,192,RESOLUCION
4709,ESCUELA DE ADMINISTRACION Y MERCADOTECNIA DEL QUINDIO E.A.M.,890.002.590,,PRINCIPAL,63,QUINDIO,63001,ARMENIA,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,OJ032,RESOLUCION
3902,ESCUELA  MILITAR DE SUBOFICIALES SARGENTO INOCENCIO CHINCA,808000211,,PRINCIPAL,25,CUNDINAMARCA,25488,NILO,5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,19,SIN DATO,NO INFORMA
